date_time,target_carbon_monoxide,target_benzene,target_nitrogen_oxides
2011-01-01 00:00:00,1.5121431,4.6795616,213.92183
2011-01-01 01:00:00,2.0061007,7.3471103,310.75446
2011-01-01 02:00:00,1.7837015,7.2214894,275.26624
2011-01-01 03:00:00,1.8996994,7.9394364,301.05276
2011-01-01 04:00:00,1.3454077,6.2013035,218.08575
2011-01-01 05:00:00,1.1295774,4.5558147,189.07726
2011-01-01 06:00:00,0.9939768,4.632032,209.3844
2011-01-01 07:00:00,1.0200464,4.400264,201.05057
2011-01-01 08:00:00,1.0892684,3.5874724,190.16144
2011-01-01 09:00:00,1.1583414,3.1578195,180.17761
2011-01-01 10:00:00,1.3537071,4.7222295,226.86765
2011-01-01 11:00:00,1.4110408,4.820498,237.42545
2011-01-01 12:00:00,1.8974044,7.2498817,323.85236
2011-01-01 13:00:00,2.3320527,9.848841,388.56177
2011-01-01 14:00:00,2.0848088,9.287366,364.52
2011-01-01 15:00:00,1.8398936,7.026786,312.17426
2011-01-01 16:00:00,2.0472236,8.693959,354.95355
2011-01-01 17:00:00,2.5424464,10.681335,422.80072
2011-01-01 18:00:00,4.237778,16.067863,588.5839
2011-01-01 19:00:00,3.0388956,12.250367,462.35532
2011-01-01 20:00:00,1.9481283,7.31351,325.53174
2011-01-01 21:00:00,2.1251488,8.490049,342.00958
2011-01-01 22:00:00,1.8088667,6.644999,270.5704
2011-01-01 23:00:00,1.686254,5.656756,235.38104
2011-01-02 00:00:00,1.6748073,5.491865,226.31839
2011-01-02 01:00:00,1.3658506,4.7419105,206.18796
2011-01-02 02:00:00,1.2115285,3.172153,153.10818
2011-01-02 03:00:00,1.1336045,4.2207775,179.69736
2011-01-02 04:00:00,1.0573151,3.7644014,152.8098
2011-01-02 05:00:00,0.8325727,3.4115083,148.85426
2011-01-02 06:00:00,0.79379225,2.8791318,139.98831
2011-01-02 07:00:00,0.95678365,3.1122713,158.56264
2011-01-02 08:00:00,0.96546304,2.917412,162.0007
2011-01-02 09:00:00,1.0816236,4.6820526,221.27055
2011-01-02 10:00:00,1.322674,4.7989483,240.17825
2011-01-02 11:00:00,1.9667623,6.9840875,331.88614
2011-01-02 12:00:00,2.0836463,7.884706,343.513
2011-01-02 13:00:00,2.258525,8.763651,373.12366
2011-01-02 14:00:00,2.1692493,8.378675,353.9012
2011-01-02 15:00:00,1.867619,6.4972463,266.85764
2011-01-02 16:00:00,2.464247,10.247513,389.94394
2011-01-02 17:00:00,2.1418252,7.5794024,333.25107
2011-01-02 18:00:00,2.2787895,8.645849,370.47504
2011-01-02 19:00:00,3.1714375,12.01199,477.14807
2011-01-02 20:00:00,3.0692194,11.438107,468.91486
2011-01-02 21:00:00,3.1362228,0.10754234,335.04892
2011-01-02 22:00:00,2.6474447,0.107185125,295.96896
2011-01-02 23:00:00,2.6753244,0.115976855,287.9954
2011-01-03 00:00:00,1.7887175,0.11754776,218.5704
2011-01-03 01:00:00,1.5244845,0.13351938,171.13579
2011-01-03 02:00:00,1.5459813,0.14275469,159.40552
2011-01-03 03:00:00,1.5166868,0.10650146,152.02861
2011-01-03 04:00:00,1.2377361,0.11552434,124.53237
2011-01-03 05:00:00,1.2395132,0.12235564,142.38818
2011-01-03 06:00:00,1.4367487,0.10571962,202.1019
2011-01-03 07:00:00,1.6556728,0.123488165,305.38135
2011-01-03 08:00:00,2.419732,0.103461,386.62878
2011-01-03 09:00:00,2.60762,0.13008244,408.19623
2011-01-03 10:00:00,2.6288812,0.1052012,384.60165
2011-01-03 11:00:00,2.7650123,0.104507595,335.03937
2011-01-03 12:00:00,2.8273854,0.11281043,331.39056
2011-01-03 13:00:00,2.913998,0.115747675,318.7773
2011-01-03 14:00:00,2.622962,0.11187787,282.3898
2011-01-03 15:00:00,2.844317,0.10460526,346.032
2011-01-03 16:00:00,3.105009,0.11472031,304.77512
2011-01-03 17:00:00,3.2006066,0.11420546,313.2517
2011-01-03 18:00:00,3.0591583,0.13484782,318.37433
2011-01-03 19:00:00,2.9581847,0.10912793,381.195
2011-01-03 20:00:00,2.956435,0.12784015,315.0107
2011-01-03 21:00:00,3.1371632,0.11092974,342.45096
2011-01-03 22:00:00,2.6497526,0.100196294,273.5947
2011-01-03 23:00:00,2.509581,0.107912034,256.05713
2011-01-04 00:00:00,1.8805393,0.10557568,248.63696
2011-01-04 01:00:00,1.5642359,0.11587906,185.71884
2011-01-04 02:00:00,1.5296898,0.19237047,170.59558
2011-01-04 03:00:00,1.3685045,0.10359466,146.89696
2011-01-04 04:00:00,1.3037045,0.10059403,144.65858
2011-01-04 05:00:00,1.3129039,0.106020465,153.46933
2011-01-04 06:00:00,1.4235191,0.10230526,212.31982
2011-01-04 07:00:00,1.5239301,0.105686605,301.90692
2011-01-04 08:00:00,2.1910238,0.10464929,396.82822
2011-01-04 09:00:00,2.6911018,0.10276135,446.8318
2011-01-04 10:00:00,3.00082,0.10172876,458.7345
2011-01-04 11:00:00,2.9349213,0.108925164,431.9274
2011-01-04 12:00:00,2.8934326,0.17886348,401.96216
2011-01-04 13:00:00,2.903038,0.10560385,382.00952
2011-01-04 14:00:00,3.0578918,0.1092046,336.64532
2011-01-04 15:00:00,2.5736203,0.11492901,285.91812
2011-01-04 16:00:00,3.0225978,0.110858396,379.33203
2011-01-04 17:00:00,3.6446903,0.1060171,460.5669
2011-01-04 18:00:00,3.7628546,0.11385954,479.14066
2011-01-04 19:00:00,3.0304031,0.11869277,408.27197
2011-01-04 20:00:00,3.3069217,0.1050119,377.66504
2011-01-04 21:00:00,2.9986978,0.10130463,384.20743
2011-01-04 22:00:00,2.694378,0.12834796,328.8518
2011-01-04 23:00:00,2.7654438,0.09818765,309.2258
2011-01-05 00:00:00,1.853551,0.11896541,234.11678
2011-01-05 01:00:00,1.6875005,5.3857064,215.56055
2011-01-05 02:00:00,1.9643106,7.8350625,283.63617
2011-01-05 03:00:00,1.955935,8.648931,306.04605
2011-01-05 04:00:00,1.8463961,7.340777,280.8606
2011-01-05 05:00:00,1.8813672,8.05103,306.6668
2011-01-05 06:00:00,1.7602651,7.1869526,304.7086
2011-01-05 07:00:00,2.911502,12.104615,479.80725
2011-01-05 08:00:00,3.6896508,14.899272,542.14355
2011-01-05 09:00:00,5.2149158,23.679192,757.5083
2011-01-05 10:00:00,4.393711,19.233599,713.3518
2011-01-05 11:00:00,5.285645,22.706785,807.1506
2011-01-05 12:00:00,5.479723,25.448643,856.2627
2011-01-05 13:00:00,5.619887,25.288649,828.45825
2011-01-05 14:00:00,3.1554594,13.2706785,448.89557
2011-01-05 15:00:00,2.888218,13.135267,434.00607
2011-01-05 16:00:00,3.280093,14.877008,480.69278
2011-01-05 17:00:00,2.8641899,12.771301,424.15793
2011-01-05 18:00:00,2.8297167,12.295513,418.2109
2011-01-05 19:00:00,3.5054395,16.089706,471.06033
2011-01-05 20:00:00,3.7232018,16.351387,494.61252
2011-01-05 21:00:00,2.6667118,11.388999,388.02417
2011-01-05 22:00:00,2.4662752,10.715805,356.41327
2011-01-05 23:00:00,1.4473885,5.4500675,204.07153
2011-01-06 00:00:00,1.5552995,5.953005,195.54626
2011-01-06 01:00:00,1.6787,6.116128,213.62675
2011-01-06 02:00:00,1.4554422,4.9134507,175.6879
